MaterialNumber,Sales,CoGS
569564 005811797838,895.14,92097.47
569722 007458027679,534.47,12973.4
569722 008065656868,218.6,5463.68
569563 005131742838,597.49,11779.03
569569 005945058838,826.6,18283.16
569562 007577142868,864.37,27744.71
569567 006272414838,10407.51,221964.05
569565 005981995838,888,17067.77
569722 008060171868,6047.58,88239.01
569567 005920344838,9616.37,104029.87
569565 008089017868,4040.62,10497.53
569562 005135526838,5216.39,51573.28
569564 007764356868,6156.37,55447.51
569564 0011778959868,4770.96,39752.07
569563 003151401800,6088.11,44060.84
569570 003142997800,6906.52,48283.21
569566 007445816868,23137.35,156204.5
569562 007375411868,12335.1,88330.34
569742 0020757692000,12166.84,79703.78
569562 007478338868,3576.29,21822.74
569562 006444300868,2548.23,14278.46
569562 007375335868,7617.92,47681.45
569563 006448233838,12684.43,81227.01
569562 005920367838,10529.44,70601.42
569981 004772120728,349.87,1757.96
569981 0011186238874,30878.01,201966.83
569563 0011823268868,12833.14,73249.82
569563 0011779002838,5935.3,32266.98
569564 005920317838,11702.74,61092.89
569278 005997004789,11885.89,61724.69
569563 003556883868,14385.32,73459.48
569566 007094900868,48986.69,240049.01
569564 006345767838,9237.99,46105.29
569566 006333437868,21703.23,107033.58
569732 0020769066000,13938.81,94229.47
569562 003564485868,6448.34,34305.79
569567 005933895838,12221.99,49917.12
569742 008060319868,9421.67,16148.94
569565 005804925868,37216.8,154332.27
569471 008065346868,282.37,811.87
569601 007313665868,6780.77,27783.18
569566 005920359838,18171.26,71500.17
569563 006349487838,23658.62,91974.22
569471 008465503868,384.82,472.28
569567 007128286868,3910.72,14310.78
569601 006591677868,15909.23,56998.97
569570 006345934838,12373.76,42539.94
569762 008107793868,705.91,2492.53
569565 004987699838,16838.26,58096.1
569732 0020768701800,14880.67,50330.24
569565 004786945838,4748.07,19673.41
569569 005946654838,6121.73,18536.99
NA 005144811679,3121.3,9327.69
569562 007359355868,13541.44,46596.65
569566 0011779205838,14646.77,41386.29
569601 007151476868,1519.34,4682.82
569566 0011779172838,19700.52,53083.95
569722 006546755868,3559614.24,9938879.23
569742 008107728868,6418.04,12720.12
569742 004493336868,55769.16,149250.64
569565 005944667868,32971.62,83215.68
569742 0020761377000,12290.91,32455.68
569762 008108471868,1350.93,1043.97
569563 005920258838,22697.06,56892.3
569471 006302596868,2455.9,5484.92
569762 008107941868,4850.96,8223.57
569566 006269909838,30765.99,79748.5
569562 005920410838,20329.31,53337.11
569601 007890237868,11762.76,33895.74
569562 006989183868,8815.5,24739.73
570151 0011449680868,25211.41,61419.53
569722 0012151788800,17775.29,39472.08
569732 0020769058000,18254.61,49410.19
569722 008059059868,918.15,1815.09
569562 007359389868,11621.16,30651.99
569742 0020740255000,2304.83,3648.64
569562 007359397868,11407.08,27953.36
569563 0011779010838,28673.79,64413.16
569722 005909888868,2204854.63,5268588.93
569601 007155934868,1976.81,3095.02
569722 005069580869,15314.66,33523.45
569565 005920177838,21981.68,47613.49
569722 005174416868,10075.03,16496.36
569564 008335990868,4031.36,3331.8
569732 0020740387800,56124.96,127179.23
569732 0020755955800,26927.92,57405.38
569732 0020740329800,43988.63,96101.45
569471 008061667868,4810.38,10451.37
569565 007094916868,57680.51,119429.42
569562 007359373868,12284.39,26797.29
569567 005918104868,46286.8,89880
569570 005610899868,78276.29,163126.52
569563 008498986868,28566,46055.51
569732 008774014868,788.56,1567.42
569722 007534214868,116365.96,226252.56
569567 007441892868,5678.64,9288.86
569601 007312843868,19949.4,43281.55
570151 0011287223868,28490.42,59324.51
569742 004493320868,81852.81,157469.79
570427 006442441679,11614.49,22625.99
569566 006272260838,33243.61,64845.34
569565 008088975868,31087.29,13074.51
569742 0020759587000,9557.11,15486.47
569981 0010747507874,91863.86,167029.35
569762 0012150676800,233731.71,416257.14
569562 005920236838,32184.93,61440.36
569722 004747431868,22703.87,42031.6
569742 004856299868,55548.75,99104.99
569762 008107809868,1336.56,2027.28
569762 008108406868,930.05,4975.31
569567 005908369838,36413.36,67788.4
569999 007965429868,21606.72,35915.17
569762 008108415868,890.61,3799.21
569601 006591712868,47923.62,87510.59
569564 005920228838,39946.59,72025.68
NA 0011898811681,1942.44,3267.3
569742 004359566868,49000.62,74839.75
569722 0012151780800,22233.18,36275.72
569566 005920139838,50504.55,80570.75
569742 005844643868,121376.78,200784.57
569562 0011822788800,23495.5,38918.35
569752 008465452868,4677.14,8949.99
569565 0011878678800,157232.66,260934.01
569732 0020755947800,28743.19,47084.49
569742 0020740241000,2421.95,2360.71
569569 005946654868,14237.31,24147.86
NA 005918209868,7048.99,11267.82
569471 008465460868,1074.56,992.11
569601 007109257868,39163.74,65739.45
569570 007466603868,47510.33,72211.47
569562 006989191868,10388.19,17872.04
569471 008065699868,15503.25,18165.67
569601 007257078868,6129,9845.59
569564 0011779107838,29961.31,45083.56
569567 007397020868,28031.42,41949.62
NA 007684910681,38289.17,57899.42
570061 006885037868,20684.44,29416.47
569567 003005012800,41622.85,64760.47
569742 008447920868,8401.21,8259.99
569742 007009860868,372445.67,558415.28
569222 0011546384849,159181.11,253975.54
569562 0011877469800,88895.81,126317.2
569601 005953053868,23281.72,32444.14
569722 008065513679,13734.57,16975.99
569981 0010747499874,125715.21,179777.34
569562 006690113868,127185.15,178774.02
569565 007029440868,56004.42,76911.48
569722 008059839868,10678.64,3124.59
569732 003307043868,23016.83,34238.86
569566 005581427838,83662.91,111294.19
570151 0011420634868,78288.9,110616.12
569565 007030319868,76282.75,94316.63
569762 004582389868,19445.49,26689.94
569562 007478453868,256054.52,367850.32
569567 005920088838,44538.33,59754.23
569565 006926460838,71990.73,100492.68
569564 003007209800,37343.99,48478.98
NA 003680738852,12901.21,17033.32
569762 0011733180894,127134.59,174794.89
569722 008107915868,2278.46,1042.27
569563 006530654868,85250.61,112993.42
569568 005918031868,68952.77,92862.27
569762 006731716868,1455922.06,1874216.67
569471 005982199868,62618.07,82856.92
569722 004853358868,19858.87,23898.2
570131 004892771868,94744.61,128870.49
569981 005966925728,17051.6,23589.24
569722 0020767311000,28828.65,37087.8
569471 008065839868,3626.09,3427.05
569562 0011822796800,65226.85,79374.43
569742 004523881868,928364.09,1179766.48
569742 004493378868,1029527.79,1282145.78
569722 0020759482000,11833.81,13780.41
569562 006635541868,52998.36,62493.6
569601 0011014347800,67903.39,80542.67
569562 007577107868,32510.48,42736.64
569742 008059958868,10643.03,11672.33
569601 007541684868,5602.09,8250.47
569722 0020759490000,25555.3,29770.16
569567 005097453600,378918.56,448511.74
569722 004776566868,16768.08,18799.9
569601 006503126868,3736.97,4622.2
569722 008271917868,47088.33,62391.41
570061 004979875679,46996.8,59144.07
569762 0011732028894,160408.67,180463.4
569722 005978351868,35745.32,38974.06
569569 005920220838,39219.02,45597.55
569471 006302605868,5048.77,5811.48
569742 005844286868,741778.1,835411.82
569601 007130374868,25705.76,30952.43
570427 006442036679,16585.88,19020.59
569762 005854986868,326417.55,362851.29
569722 005978250868,67403.4,76487.58
569565 007110478868,194210.5,221733.08
569722 0011880108894,122013.85,134394.75
