MaterialNumber,ProductType,Plant,ComplexityScore,IfPhasedOut
003002432800,Disposables,569566,10,NA
003002440800,Disposables,569566,4,NA
003003591000,Disposables,569601,2,x
003004284000,Disposables,569762,5,NA
003004308000,Disposables,569762,5,NA
003004554800,Disposables,569722,5,NA
003005004800,Disposables,569567,1,NA
003005012800,Disposables,569567,4,NA
003005066800,Disposables,569722,3,NA
003005575679,Disposables,570226,3,NA
003005593679,Disposables,570226,8,NA
003005868679,Disposables,569722,2,NA
003006335679,Disposables,570226,3,NA
003006385679,Disposables,570226,8,NA
003006403679,Disposables,570226,7,NA
003006411679,Disposables,570226,7,NA
003006419679,Disposables,570226,8,NA
003006427679,Disposables,570226,8,NA
003006449679,Disposables,570226,10,NA
003006457679,Disposables,570226,7,NA
003006492679,Disposables,570226,9,NA
003006500679,Disposables,570226,10,NA
003006516679,Disposables,570226,3,NA
003006525679,Disposables,570226,9,NA
003006543679,Disposables,570226,6,NA
003006546679,Disposables,570226,6,NA
003006721679,Disposables,569301,1,NA
003006721696,Disposables,569301,10,NA
003006721714,Disposables,569301,7,NA
003006721724,Disposables,569301,5,NA
003006721728,Disposables,569301,6,NA
003006721758,Disposables,569301,10,NA
003007077800,Disposables,569722,5,NA
003007209800,Disposables,569564,7,NA
003007244868,Disposables,569562,3,NA
003007247800,Disposables,569762,5,NA
003007298800,Disposables,569762,7,NA
003007841800,Disposables,569762,4,NA
003007939000,Disposables,569762,4,NA
003008057868,Disposables,569562,9,NA
003008117000,Disposables,569762,9,NA
003010200679,Software,569966,6,NA
003010216679,Software,569967,10,NA
003010225679,Software,569967,1,NA
003010273679,Software,569967,3,NA
003010324679,Software,569967,4,NA
003010340679,Software,569967,9,NA
003010347679,Software,569967,10,NA
003010374679,Software,569967,2,NA
003010382679,Software,569966,8,NA
003010390679,Software,569967,10,NA
003012385679,Disposables,570241,5,NA
003014902739,Disposables,569222,6,x
003014918679,Hardware,569971,3,x
003014935739,Disposables,569222,9,x
003014999694,Disposables,570151,10,x
003015000048,Disposables,570151,3,x
003017395800,Disposables,569762,5,NA
003017429800,Disposables,569762,5,NA
003017459800,Disposables,569762,1,NA
003021299679,Disposables,570226,6,NA
003024986679,Software,569966,7,NA
003025207679,Software,569966,9,NA
003025486679,Hardware,569571,4,NA
003025495679,Hardware,569571,9,NA
003029996679,Hardware,569571,2,NA
003030887800,Disposables,569566,9,NA
003031936000,Disposables,569722,5,NA
003034911800,Disposables,569762,8,NA
003034919800,Disposables,569762,1,NA
003034957800,Disposables,569762,2,NA
003034984800,Disposables,569762,6,NA
003035025800,Disposables,569566,1,NA
003035934679,Disposables,569722,6,NA
003037732679,Hardware,569971,8,NA
003037762679,Hardware,569971,1,NA
003038426800,Disposables,569601,1,NA
003040850679,Disposables,570226,8,NA
003042118868,Disposables,569722,2,NA
003042531679,Software,569966,9,NA
003043503679,Software,569967,7,NA
003043519679,Software,569966,1,NA
003047846679,Disposables,570226,9,NA
003048183800,Disposables,569564,2,NA
003048183838,Disposables,569564,4,NA
003048191800,Disposables,569564,6,NA
003049047868,Disposables,569732,7,NA
003049098868,Disposables,569732,9,NA
003053660679,Hardware,569261,5,NA
003053661370,Hardware,569261,3,NA
003053669370,Hardware,569212,7,NA
003054346838,Disposables,569566,5,NA
003054346868,Disposables,569566,3,NA
003054373868,Disposables,569566,2,NA
003067105679,Disposables,570226,7,NA
003068619679,Software,569966,7,NA
003068627679,Software,569966,8,NA
003069107679,Hardware,570551,4,NA
003072276679,Hardware,570551,5,NA
003089224679,Hardware,570551,2,NA
003112537713,Disposables,570556,3,NA
003112594858,Disposables,570556,5,NA
003112683858,Disposables,570556,9,NA
003112699858,Disposables,570556,7,NA
003112707858,Disposables,570556,8,NA
003112764858,Disposables,570556,8,NA
003112780858,Disposables,570556,7,NA
003112796858,Disposables,570556,1,NA
003113009858,Disposables,570556,10,NA
003113268713,Disposables,570556,5,NA
003113679679,Hardware,569212,8,NA
003113900858,Disposables,570556,10,NA
003113916858,Disposables,570556,8,NA
003113943858,Disposables,570556,4,NA
003113973858,Disposables,570556,10,NA
003113989858,Disposables,570556,7,NA
003114024858,Disposables,570556,8,NA
003114040858,Disposables,570556,5,NA
003114062858,Disposables,570556,4,NA
003114194713,Disposables,570556,7,NA
003114218858,Disposables,570556,7,NA
003114357858,Hardware,570551,5,NA
003114416858,Disposables,570556,4,NA
003114443713,Hardware,570551,1,NA
003114446858,Hardware,570551,7,NA
003114497858,Hardware,570551,4,NA
003114629858,Disposables,570556,4,NA
003114637696,Hardware,570551,10,NA
003114651858,Disposables,570556,5,NA
003114694858,Disposables,570556,7,NA
003114864696,Hardware,570551,7,NA
003115233858,Disposables,570556,6,NA
003115698858,Hardware,570551,2,NA
003115706858,Hardware,570551,6,NA
003115822858,Hardware,570551,5,NA
003115838713,Hardware,570551,3,NA
003115852713,Hardware,570551,1,NA
003115992713,Hardware,570551,9,NA
003116162713,Hardware,570551,2,NA
003118146679,Disposables,570241,5,NA
003118189679,Disposables,570241,2,NA
003118197679,Disposables,570241,7,NA
003118224679,Disposables,570241,3,NA
003118600679,Software,569967,2,NA
003121172679,Disposables,570226,3,NA
003121223679,Software,569966,6,NA
003123488679,Software,569966,7,NA
003123505679,Software,569966,3,NA
003123636800,Disposables,569722,8,NA
003123650800,Disposables,569762,7,NA
003123658800,Disposables,569722,1,NA
003123798679,Hardware,569261,5,NA
003129059679,Hardware,569261,7,NA
003129920679,Disposables,569421,9,NA
003133761679,Disposables,569421,10,NA
003136377679,Software,569966,8,NA
003139008696,Hardware,569471,2,NA
003139097679,Disposables,570123,5,NA
003139385679,Disposables,569421,9,NA
